No,Date,Close,Before Stock Date,,,,,,,,,,,
35,6/11/2020,4690,4110,4290,4470,4620,4860,4730,4850,5250,5275,4910,,
36,6/12/2020,4890,4290,4470,4620,4860,4730,4850,5250,5275,4910,4690,,
37,6/15/2020,4720,4470,4620,4860,4730,4850,5250,5275,4910,4690,4890,,
38,6/16/2020,5025,4620,4860,4730,4850,5250,5275,4910,4690,4890,4720,,
39,6/17/2020,4900,4860,4730,4850,5250,5275,4910,4690,4890,4720,5025,,
40,6/18/2020,4820,4730,4850,5250,5275,4910,4690,4890,4720,5025,4900,,
41,6/19/2020,4880,4850,5250,5275,4910,4690,4890,4720,5025,4900,4820,,
42,6/22/2020,4810,5250,5275,4910,4690,4890,4720,5025,4900,4820,4880,,
43,6/23/2020,4790,5275,4910,4690,4890,4720,5025,4900,4820,4880,4810,,
44,6/24/2020,5150,4910,4690,4890,4720,5025,4900,4820,4880,4810,4790,,
45,6/25/2020,5025,4690,4890,4720,5025,4900,4820,4880,4810,4790,5150,,
46,6/26/2020,5000,4890,4720,5025,4900,4820,4880,4810,4790,5150,5025,,
47,6/29/2020,4940,4720,5025,4900,4820,4880,4810,4790,5150,5025,5000,,
48,6/30/2020,4950,5025,4900,4820,4880,4810,4790,5150,5025,5000,4940,,
49,7/1/2020,4990,4900,4820,4880,4810,4790,5150,5025,5000,4940,4950,,
50,7/2/2020,5000,4820,4880,4810,4790,5150,5025,5000,4940,4950,4990,,
51,7/3/2020,5000,4880,4810,4790,5150,5025,5000,4940,4950,4990,5000,,
52,7/6/2020,5075,4810,4790,5150,5025,5000,4940,4950,4990,5000,5000,,
53,7/7/2020,5050,4790,5150,5025,5000,4940,4950,4990,5000,5000,5075,,
54,7/8/2020,5275,5150,5025,5000,4940,4950,4990,5000,5000,5075,5050,,
55,7/9/2020,5250,5025,5000,4940,4950,4990,5000,5000,5075,5050,5275,,
56,7/10/2020,5175,5000,4940,4950,4990,5000,5000,5075,5050,5275,5250,,
57,7/13/2020,5250,4940,4950,4990,5000,5000,5075,5050,5275,5250,5175,,
58,7/14/2020,5300,4950,4990,5000,5000,5075,5050,5275,5250,5175,5250,,
59,7/15/2020,5275,4990,5000,5000,5075,5050,5275,5250,5175,5250,5300,,
60,7/16/2020,5275,5000,5000,5075,5050,5275,5250,5175,5250,5300,5275,,
61,7/17/2020,5175,5000,5075,5050,5275,5250,5175,5250,5300,5275,5275,,
62,7/20/2020,5100,5075,5050,5275,5250,5175,5250,5300,5275,5275,5175,,
63,7/21/2020,5300,5050,5275,5250,5175,5250,5300,5275,5275,5175,5100,,
64,7/22/2020,5425,5275,5250,5175,5250,5300,5275,5275,5175,5100,5300,,
65,7/23/2020,5700,5250,5175,5250,5300,5275,5275,5175,5100,5300,5425,,
66,7/24/2020,5600,5175,5250,5300,5275,5275,5175,5100,5300,5425,5700,,
67,7/27/2020,5875,5250,5300,5275,5275,5175,5100,5300,5425,5700,5600,,
